stage,id,label,fee_mult,start_date,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf2_cool5_wr50_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认2d+冷却5d+港股,2.0,2023-01-03,4.450810418634655,0.6199277505192293,-0.21069199709772501,1.6869313085397295,0.9435501189908251,72,"{""2023"": 0.7522761269599751, ""2024"": 0.20324947094574952, ""2025"": 0.5735519864857372, ""2026"": 0.6689336318771828}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr40_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,1.0,2021-07-10,3.672763747923635,0.3616953540254215,-0.21667283767710865,1.2681943089379861,0.7811298231675872,78,"{""2021"": 0.011143251629689654, ""2022"": -0.08697575795700496, ""2023"": 0.7003314374300089, ""2024"": 0.14505377174641554, ""2025"": 0.5226321640149398, ""2026"": 0.7222293062498064}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr40_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,2.0,2021-07-10,3.506198622198058,0.3518340086761227,-0.2199698295332967,1.240911256507918,0.7811405047573841,78,"{""2021"": 0.0038091758614202664, ""2022"": -0.0898374135627007, ""2023"": 0.6932944257799591, ""2024"": 0.14024406697967962, ""2025"": 0.508089335237573, ""2026"": 0.7086551051432237}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr40_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,1.0,2022-01-04,3.494845754778641,0.39528417565026364,-0.21667283767710865,1.3202627957723694,0.7575006549459725,70,"{""2022"": -0.10570185005591759, ""2023"": 0.7003314374300089, ""2024"": 0.14505377174641532, ""2025"": 0.5226321640149396, ""2026"": 0.7222293062498064}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr40_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,2.0,2022-01-04,3.3525256468648523,0.3853697493822279,-0.21996982953329647,1.2941255548017634,0.7575124897174677,70,"{""2022"": -0.11131641736135955, ""2023"": 0.6932944257799591, ""2024"": 0.14024406697967984, ""2025"": 0.508089335237573, ""2026"": 0.7086551051432237}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr40_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,1.0,2023-01-03,4.026115457199242,0.5829763293169494,-0.21667283767710876,1.6147154713027898,0.935309301828376,58,"{""2023"": 0.7003314374300087, ""2024"": 0.14505377174641532, ""2025"": 0.5226321640149394, ""2026"": 0.7222293062498057}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr40_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,2.0,2023-01-03,3.897722577412223,0.571366718305724,-0.21996982953329647,1.5903656997295965,0.935324502069556,58,"{""2023"": 0.6932944257799591, ""2024"": 0.14024406697967962, ""2025"": 0.5080893352375726, ""2026"": 0.7086551051432235}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr50_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,1.0,2021-07-10,3.672763747923635,0.3616953540254215,-0.21667283767710865,1.2681943089379861,0.7811298231675872,78,"{""2021"": 0.011143251629689654, ""2022"": -0.08697575795700496, ""2023"": 0.7003314374300089, ""2024"": 0.14505377174641554, ""2025"": 0.5226321640149398, ""2026"": 0.7222293062498064}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr50_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,2.0,2021-07-10,3.506198622198058,0.3518340086761227,-0.2199698295332967,1.240911256507918,0.7811405047573841,78,"{""2021"": 0.0038091758614202664, ""2022"": -0.0898374135627007, ""2023"": 0.6932944257799591, ""2024"": 0.14024406697967962, ""2025"": 0.508089335237573, ""2026"": 0.7086551051432237}"
stress,overseas_rs612_top2_alloc100_ma200_ret12_immediate_ma120_conf3_cool10_wr50_hk,进攻6月60%+12月40% Top2｜弱市纳指+标普 RS612 Top2 100%仓｜MA200+12月正｜恢复立即切回｜MA120斜率+确认3d+冷却10d+港股,1.0,2022-01-04,3.494845754778641,0.39528417565026364,-0.21667283767710865,1.3202627957723694,0.7575006549459725,70,"{""2022"": -0.10570185005591759, ""2023"": 0.7003314374300089, ""2024"": 0.14505377174641532, ""2025"": 0.5226321640149396, ""2026"": 0.7222293062498064}"
