id,label,selected_by_train,offensive_scheme,offensive_top_n,fast_crash_5d,defensive_pool,defensive_filter,defensive_top_n,fee_mult,full_return,full_cagr,full_max_drawdown,full_sharpe,train_return,train_cagr,train_max_drawdown,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,trades
top4_equal_fastm7_overseas_ma200_ret12_deftop2,进攻top4_equal｜2/4指数5日<= -7%｜弱市纳指+标普 Top2｜MA200+12月正,False,top4_equal,4,-0.07,overseas,ma200_ret12,2,1.0,1.4704067474527132,0.19853464709855606,-0.23066121241059523,0.9079912547416623,0.26091796854900795,0.09865686385862937,-0.14070030608585893,0.9592128981201808,0.30454057919471555,-0.23066121241059523,1.0972592465339681,276
top4_equal_fastm7_overseas_gold_ma120_ret6_deftop1,进攻top4_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top1｜MA120+6月正,False,top4_equal,4,-0.07,overseas_gold,ma120_ret6,1,1.0,0.8767875548507387,0.13435888582329203,-0.2650635570800324,0.6584125508819552,0.05147342694422696,0.020578646535220457,-0.2108069534860434,0.7849120165642463,0.2573673118202391,-0.2650635570800324,0.9650732013094224,286
top4_equal_fastm7_overseas_gold_ma120_ret6_deftop2,进攻top4_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top2｜MA120+6月正,False,top4_equal,4,-0.07,overseas_gold,ma120_ret6,2,1.0,0.9625079883390011,0.14454935853286766,-0.23372630702468833,0.7024510519592967,0.04178301878792601,0.016751005118088358,-0.22178102272129674,0.8837972523513609,0.2844549003731929,-0.23372630702468833,1.0433032631257573,306
top4_equal_fastm7_overseas_gold_ma200_ret12_deftop1,进攻top4_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top1｜MA200+12月正,False,top4_equal,4,-0.07,overseas_gold,ma200_ret12,1,1.0,1.170784822117044,0.16790200005986633,-0.2650635570800325,0.7803507616488096,0.1510770779731283,0.05876165619381313,-0.16419675725468985,0.885872687117935,0.28501410072262745,-0.2650635570800325,1.0391377821139958,290
top4_equal_fastm7_overseas_gold_ma200_ret12_deftop2,进攻top4_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top2｜MA200+12月正,False,top4_equal,4,-0.07,overseas_gold,ma200_ret12,2,1.0,1.4793202679862718,0.19939935830909872,-0.2337263070246881,0.9025761531516088,0.1992357120670636,0.07651998759220646,-0.1347470152324025,1.0674169748604214,0.3325584306709175,-0.2337263070246881,1.1704941384508145,309
top4_equal_fastm9_overseas_ma120_ret6_deftop1,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top1｜MA120+6月正,False,top4_equal,4,-0.09,overseas,ma120_ret6,1,1.0,1.0640418095789195,0.1561690580604882,-0.27376173395939585,0.7379358484410439,0.08368491778970366,0.03315340807332667,-0.27376173395939585,0.9046512281344312,0.29005691609436357,-0.24686596293452867,1.0509515776014993,239
top4_equal_fastm9_overseas_ma120_ret6_deftop2,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top2｜MA120+6月正,False,top4_equal,4,-0.09,overseas,ma120_ret6,2,1.0,1.1095492775174258,0.16122911434970266,-0.25379893977300827,0.7612673771715217,0.09187589390405937,0.0363154874285152,-0.25379893977300827,0.932041259721031,0.29735865344678825,-0.239992012985366,1.0697547260308549,247
top4_equal_fastm9_overseas_ma200_ret12_deftop1,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top1｜MA200+12月正,False,top4_equal,4,-0.09,overseas,ma200_ret12,1,1.0,1.4938223479379213,0.20080092392991356,-0.24686596293452923,0.901858552860123,0.23859551590269157,0.09072154072625271,-0.16994742195960377,1.0134275604255012,0.3186924996612639,-0.24686596293452923,1.1256852058394529,239
top4_equal_fastm9_overseas_ma200_ret12_deftop2,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top2｜MA200+12月正,False,top4_equal,4,-0.09,overseas,ma200_ret12,2,1.0,1.575825149455918,0.20860574203690474,-0.23999201298536565,0.9370504053952563,0.26091796854900795,0.09865686385862937,-0.14070030608585893,1.0428173867805448,0.32626809414112357,-0.23999201298536565,1.1445392413266315,243
top4_equal_fastm9_overseas_gold_ma120_ret6_deftop1,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top1｜MA120+6月正,False,top4_equal,4,-0.09,overseas_gold,ma120_ret6,1,1.0,0.9089333330356992,0.13822318140117695,-0.26334502129719317,0.6700063371314016,0.05147342694422696,0.020578646535220457,-0.2108069534860434,0.8154841426505726,0.265836753632118,-0.26334502129719317,0.9826614626069764,257
top4_equal_fastm9_overseas_gold_ma120_ret6_deftop2,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top2｜MA120+6月正,False,top4_equal,4,-0.09,overseas_gold,ma120_ret6,2,1.0,0.9887927496454503,0.14760272492709614,-0.23300419714540122,0.7103576217410522,0.04178301878792601,0.016751005118088358,-0.22178102272129674,0.9090278050023637,0.2912278833737476,-0.23300419714540122,1.0543100602749074,273
top4_equal_fastm9_overseas_gold_ma200_ret12_deftop1,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top1｜MA200+12月正,False,top4_equal,4,-0.09,overseas_gold,ma200_ret12,1,1.0,1.0897621820287715,0.1590397867219282,-0.26334502129719306,0.7465377886041601,0.1510770779731283,0.05876165619381313,-0.16419675725468985,0.8154841426505728,0.265836753632118,-0.26334502129719306,0.9826614626069764,259
top4_equal_fastm9_overseas_gold_ma200_ret12_deftop2,进攻top4_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top2｜MA200+12月正,False,top4_equal,4,-0.09,overseas_gold,ma200_ret12,2,1.0,1.3780184361050578,0.18942170583971984,-0.23300419714540088,0.8642420000442391,0.1992357120670636,0.07651998759220646,-0.1347470152324025,0.982944980854668,0.3107642532067407,-0.23300419714540088,1.1073348586492442,274
