stage,id,label,horizon,schedule,top_n,gate,factor,weighting,fee_mult,requested_start,actual_start,end,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
refined,m1612_month_start_3_top2_majority_below_ma120_trend20_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜趋势质量20%｜equal,m1612,month_start_3,2,majority_below_ma120,trend20,equal,1.0,2021-07-10,2021-07-13,2026-07-10,1.5638233575371165,0.2076008529884943,-0.18489116214551637,0.9469374673233003,0.34710743801652894,69,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": -0.006357271077750193, ""2025"": 0.5072485374145894, ""2026"": 0.5757495666325463}"
refined,m1612_month_start_3_top2_majority_below_ma120_trend20_inverse_vol,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜趋势质量20%｜inverse_vol,m1612,month_start_3,2,majority_below_ma120,trend20,inverse_vol,1.0,2021-07-10,2021-07-13,2026-07-10,1.49799307591186,0.20132360101681157,-0.1898353850111678,0.9315688620466132,0.3470010363478102,77,"{""2021"": 0.07103429214219781, ""2022"": 0.05764468977705528, ""2023"": -0.03314069807027564, ""2024"": -0.0031277172509855955, ""2025"": 0.4818590772066633, ""2026"": 0.5672768049947037}"
refined,m1612_month_start_3_top2_majority_below_ma120_trend30_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜趋势质量30%｜equal,m1612,month_start_3,2,majority_below_ma120,trend30,equal,1.0,2021-07-10,2021-07-13,2026-07-10,1.312992675291849,0.1829453996931989,-0.20559941457690123,0.8648324501397979,0.3469741377913642,79,"{""2021"": 0.009875797217042903, ""2022"": 0.024230750612221907, ""2023"": -0.02671362446856118, ""2024"": -0.006357271077750304, ""2025"": 0.48914689166384306, ""2026"": 0.5770430385593719}"
refined,m1612_month_start_3_top2_majority_below_ma120_trend30_inverse_vol,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜趋势质量30%｜inverse_vol,m1612,month_start_3,2,majority_below_ma120,trend30,inverse_vol,1.0,2021-07-10,2021-07-13,2026-07-10,1.25526107095753,0.17696974430397616,-0.2072616877871819,0.8492823116150559,0.34709939714353305,85,"{""2021"": 0.010026390132587215, ""2022"": 0.023358747528841928, ""2023"": -0.033140698070275754, ""2024"": -0.0031277172509858175, ""2025"": 0.4651866082211149, ""2026"": 0.5683673969906153}"
refined,m1612_month_start_3_top2_majority_below_ma120_liq10_trend10_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%+趋势质量10%｜equal,m1612,month_start_3,2,majority_below_ma120,liq10_trend10,equal,1.0,2021-07-10,2021-07-13,2026-07-10,1.7613445029348904,0.22569214324213238,-0.16875130933536808,1.0027492603718877,0.34710743801652894,64,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": 0.04439384984897421, ""2025"": 0.5429799037119223, ""2026"": 0.5773952663777466}"
refined,m1612_month_start_3_top2_majority_below_ma120_liq10_trend10_inverse_vol,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%+趋势质量10%｜inverse_vol,m1612,month_start_3,2,majority_below_ma120,liq10_trend10,inverse_vol,1.0,2021-07-10,2021-07-13,2026-07-10,1.6896705590275505,0.2192507439627447,-0.1673331036802349,0.9859496201563032,0.3470010363235491,68,"{""2021"": 0.07103429214219781, ""2022"": 0.05764468977705528, ""2023"": -0.03314069807027564, ""2024"": 0.03784847025549709, ""2025"": 0.5232969843726958, ""2026"": 0.5769666610677011}"
refined,m1612_month_start_3_top2_majority_below_ma120_liq20_trend10_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%+趋势质量10%｜equal,m1612,month_start_3,2,majority_below_ma120,liq20_trend10,equal,1.0,2021-07-10,2021-07-13,2026-07-10,1.6909641560490103,0.21936821018626484,-0.15464180556917417,0.9769010925194417,0.3469135468665855,68,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5376813923653438, ""2026"": 0.5769720687659838}"
refined,m1612_month_start_3_top2_majority_below_ma120_liq20_trend10_inverse_vol,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%+趋势质量10%｜inverse_vol,m1612,month_start_3,2,majority_below_ma120,liq20_trend10,inverse_vol,1.0,2021-07-10,2021-07-13,2026-07-10,1.6210909675667642,0.21295762993091327,-0.1521469415418989,0.9590913134695311,0.34697299587812813,74,"{""2021"": -0.03734258641692256, ""2022"": 0.057644689777054836, ""2023"": 0.054325422402274004, ""2024"": 0.037848470255497535, ""2025"": 0.5141832585595039, ""2026"": 0.5771442687120363}"
refined,m612_month_start_3_top2_majority_below_ma120_base_equal,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜纯动量｜equal,m612,month_start_3,2,majority_below_ma120,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,1.5805841033360317,0.2091784642819836,-0.18489116214551637,0.9555043417148513,0.34710743801652894,67,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": -0.006357271077750193, ""2025"": 0.517102028107358, ""2026"": 0.5757495666325456}"
refined,m612_month_start_3_top2_majority_below_ma120_base_inverse_vol,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜纯动量｜inverse_vol,m612,month_start_3,2,majority_below_ma120,base,inverse_vol,1.0,2021-07-10,2021-07-13,2026-07-10,1.5154138483889472,0.20299751121744292,-0.1898353850111678,0.9407402183482642,0.34710743801652894,75,"{""2021"": 0.07103429214219781, ""2022"": 0.05764468977705528, ""2023"": -0.03314069807027564, ""2024"": -0.0031277172509855955, ""2025"": 0.49219342523831244, ""2026"": 0.5672768049947037}"
