stage,id,label,horizon,schedule,gate,factor,weighting,fee_mult,requested_start,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
stress,m612_60_40_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月60%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_60_40,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,1.0,2022-01-04,1.8720961422781173,0.2636108389328893,-0.1673331036802349,1.1442235602682937,0.3498079468952928,60,"{""2022"": 0.05764468977705506, ""2023"": 0.05432542240227445, ""2024"": 0.03784847025549687, ""2025"": 0.5338469702498168, ""2026"": 0.6425436640200564}"
stress,m612_60_40_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月60%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_60_40,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,2.0,2022-01-04,1.7947778399789835,0.25598667586197,-0.16833109511458189,1.1173988648061997,0.3498085903586407,60,"{""2022"": 0.05321188608059879, ""2023"": 0.04990653042950988, ""2024"": 0.030249933326600642, ""2025"": 0.5235188269702951, ""2026"": 0.6347156398136582}"
stress,m612_60_40_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月60%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_60_40,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,1.0,2023-01-03,1.7155586087077466,0.32896306684156973,-0.16733310368023468,1.2496268839633982,0.4199885623643056,52,"{""2023"": 0.05432542240227378, ""2024"": 0.03784847025549709, ""2025"": 0.5338469702498172, ""2026"": 0.6425436640200552}"
stress,m612_60_40_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月60%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_60_40,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,2.0,2023-01-03,1.6535760533233388,0.32025615041948896,-0.16833109511458189,1.2234586647821724,0.41998938902545374,52,"{""2023"": 0.04990653042950988, ""2024"": 0.03024993332660042, ""2025"": 0.5235188269702955, ""2026"": 0.6347156398136586}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2021-07-10,2.1217089837551772,0.25618834882081143,-0.1687513093353682,1.105621886294461,0.34706209189745196,62,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5533368973565773, ""2026"": 0.6169844331488483}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,equal,2.0,2021-07-10,2.0369975593503065,0.2492832197714392,-0.16963900529345355,1.081600661100735,0.3470766385774559,62,"{""2021"": 0.07506190195622753, ""2022"": 0.05691958542796649, ""2023"": 0.05268991796013056, ""2024"": 0.0367473913689258, ""2025"": 0.5435872106859567, ""2026"": 0.6115419023447028}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2022-01-04,1.8976938600423225,0.26609976166797433,-0.16875130933536808,1.1459242472991578,0.3498168498168498,56,"{""2022"": 0.061367994249649005, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897443, ""2025"": 0.5533368973565771, ""2026"": 0.6169844331488488}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,equal,2.0,2022-01-04,1.8249513389173782,0.25898130703690114,-0.16963900529345355,1.1211502871575214,0.3498168498168498,56,"{""2022"": 0.05691958542796649, ""2023"": 0.05268991796013056, ""2024"": 0.03674739136892602, ""2025"": 0.5435872106859572, ""2026"": 0.6115419023447031}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2023-01-03,1.7301500287757334,0.33099206659144165,-0.1687513093353683,1.247793967278633,0.42,48,"{""2023"": 0.05712052477460672, ""2024"": 0.044393849848974654, ""2025"": 0.5533368973565769, ""2026"": 0.6169844331488488}"
stress,m612_50_50_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月50%+12月50%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_50_50,month_start_3,majority_below_ma120,liq15_trend10,equal,2.0,2023-01-03,1.6728157731825002,0.3229742537205962,-0.16963900529345355,1.2239639520515027,0.42,48,"{""2023"": 0.05268991796013056, ""2024"": 0.0367473913689258, ""2025"": 0.5435872106859574, ""2026"": 0.6115419023447033}"
