stage,id,label,horizon,schedule,gate,factor,weighting,fee_mult,requested_start,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq25_trend5_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性25%+趋势质量5%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq25_trend5,equal,1.0,2021-07-10,1.769439775944956,0.22641124013174552,-0.1546418126088258,1.0170816655186274,0.3469117491043005,66,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5425130805746428, ""2026"": 0.6178770597685446}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq25_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性25%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq25_trend10,equal,1.0,2021-07-10,1.769439775944956,0.22641124013174552,-0.1546418126088258,1.0170816655186274,0.3469117491043005,66,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5425130805746428, ""2026"": 0.6178770597685446}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq30_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性30%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq30_trend0,equal,1.0,2021-07-10,1.6319572262041997,0.21396346890699203,-0.15462840231013253,0.9715304350675762,0.3469135468665855,69,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5020927492794698, ""2026"": 0.5650517390642207}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq30_trend5_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性30%+趋势质量5%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq30_trend5,equal,1.0,2021-07-10,1.6370139594794102,0.21443041531353146,-0.15462840231013253,0.9732595025846503,0.3469135468665855,69,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5020927492794698, ""2026"": 0.5680586455319852}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq30_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性30%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq30_trend10,equal,1.0,2021-07-10,1.7105064502347034,0.22113729517012337,-0.1546418126088258,1.0000264607066665,0.3469135468665855,67,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5425130805746428, ""2026"": 0.5834488419930008}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq10_trend0_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq10_trend0,equal,1.0,2021-07-10,1.7613445029348904,0.22569214324213238,-0.16875130933536808,1.0027492603718877,0.34710743801652894,64,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": 0.04439384984897421, ""2025"": 0.5429799037119223, ""2026"": 0.5773952663777466}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq10_trend5_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%+趋势质量5%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq10_trend5,equal,1.0,2021-07-10,1.7613445029348904,0.22569214324213238,-0.16875130933536808,1.0027492603718877,0.34710743801652894,64,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": 0.04439384984897421, ""2025"": 0.5429799037119223, ""2026"": 0.5773952663777466}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq10_trend10_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%+趋势质量10%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq10_trend10,equal,1.0,2021-07-10,1.7613445029348904,0.22569214324213238,-0.16875130933536808,1.0027492603718877,0.34710743801652894,64,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": 0.04439384984897421, ""2025"": 0.5429799037119223, ""2026"": 0.5773952663777466}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq15_trend0_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq15_trend0,equal,1.0,2021-07-10,1.9991932728248867,0.2461518571257264,-0.1687513093353683,1.064499152588503,0.34710743801652894,64,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5429799037119223, ""2026"": 0.5773952663777466}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq15_trend5_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量5%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq15_trend5,equal,1.0,2021-07-10,1.9991932728248867,0.2461518571257264,-0.1687513093353683,1.064499152588503,0.34710743801652894,64,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5429799037119223, ""2026"": 0.5773952663777466}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2021-07-10,2.0249745124593446,0.24829073678783797,-0.16875130933536808,1.0731992914536579,0.34706209189745196,66,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5429799037119225, ""2026"": 0.5773952663777462}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq20_trend0_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq20_trend0,equal,1.0,2021-07-10,2.014246932663074,0.24740252608885838,-0.16875131625752393,1.081157195930403,0.34706209189745196,66,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5375079766021449, ""2026"": 0.5773952663777466}"
refined,m1612_20_40_40_month_start_3_top2_majority_below_ma120_liq20_trend5_equal,1月20%+6月40%+12月40%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%+趋势质量5%｜equal,m1612_20_40_40,month_start_3,majority_below_ma120,liq20_trend5,equal,1.0,2021-07-10,2.014246932663074,0.24740252608885838,-0.16875131625752393,1.081157195930403,0.34706209189745196,66,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5375079766021449, ""2026"": 0.5773952663777466}"
