strategy_id,strategy,gate_id,gate,total_return,cagr,max_drawdown,max_dd_start,max_dd_end,volatility,sharpe,avg_exposure,trades,market_bad_days,latest_positions,yearly
rs36_top3_month_start,RS36 Top3｜月初,no_gate,无市场闸门,0.7445026792721507,0.11794515318689358,-0.5210275947160794,2021-07-30,2023-02-27,0.30851290879374466,0.5302796535903853,0.9853957754546473,181,0,半导体设备(159516);半导体(512480);科创芯片(588200),"{""2021"": -0.09448043204145673, ""2022"": -0.3961033709944394, ""2023"": 0.056101244799524164, ""2024"": 0.08917541001743023, ""2025"": 0.5799797183152466, ""2026"": 0.8091060936891459}"
rs36_top3_month_start,RS36 Top3｜月初,majority_below_ma60,2/3指数低于MA60空仓,0.19674835092075127,0.03664099596286685,-0.3848441723567446,2021-07-26,2024-10-15,0.19532488125883543,0.2892909824238878,0.34594934143079803,122,654,,"{""2021"": -0.17122770875884685, ""2022"": -0.05332744472476436, ""2023"": -0.09570110531136422, ""2024"": -0.07017886187514455, ""2025"": 0.19902032311567552, ""2026"": 0.5111501763069359}"
rs36_top3_month_start,RS36 Top3｜月初,majority_below_ma120,2/3指数低于MA120空仓,1.213125967411952,0.17253074850095262,-0.22178013478502612,2021-07-30,2025-01-06,0.22907949760131543,0.8371907154267927,0.3748284581412808,120,661,半导体设备(159516);半导体(512480);科创芯片(588200),"{""2021"": -0.05903951024564069, ""2022"": -0.01634094658818752, ""2023"": 0.015649500015440854, ""2024"": -0.06216154714400668, ""2025"": 0.4939857791313218, ""2026"": 0.7313749639835558}"
