stage,id,label,horizon,schedule,top_n,gate,factor,weighting,fee_mult,requested_start,actual_start,end,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
broad,m36_month_start_top3_no_gate_base_equal,3月50%+6月50%｜月初 Top3｜无闸门｜纯动量｜equal,m36,month_start,3,no_gate,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.6835986673311787,0.11001380791050641,-0.5216699917643726,0.5055350440165317,0.9853858417444409,181,"{""2021"": -0.06208286510995753, ""2022"": -0.3961033711100964, ""2023"": 0.05610124479952394, ""2024"": 0.08917541001743001, ""2025"": 0.5799797183152469, ""2026"": 0.6856381050487454}"
broad,m36_month_start_top3_majority_below_ma100_base_equal,3月50%+6月50%｜月初 Top3｜2/3指数低于MA100空仓｜纯动量｜equal,m36,month_start,3,majority_below_ma100,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.9107134043871068,0.13851661209376687,-0.2340983673356768,0.7261712526848418,0.34093475541589857,108,"{""2021"": 0.01064401162333839, ""2022"": -0.02706552959763775, ""2023"": 0.008069697509767382, ""2024"": -0.09210484992960954, ""2025"": 0.35623236125709346, ""2026"": 0.6131424981361369}"
broad,m36_month_start_top3_majority_below_ma120_base_equal,3月50%+6月50%｜月初 Top3｜2/3指数低于MA120空仓｜纯动量｜equal,m36,month_start,3,majority_below_ma120,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,1.1359643569577789,0.16422338570834927,-0.22275294419883773,0.800979129777305,0.3748190529365597,120,"{""2021"": -0.02528498569272286, ""2022"": -0.016340946588187633, ""2023"": 0.01564950001544063, ""2024"": -0.06216154714400668, ""2025"": 0.49398577913132224, ""2026"": 0.6131424981361369}"
broad,m36_month_start_top3_majority_below_ma150_base_equal,3月50%+6月50%｜月初 Top3｜2/3指数低于MA150空仓｜纯动量｜equal,m36,month_start,3,majority_below_ma150,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.645097378585384,0.10488074804857361,-0.24801675953221258,0.5562547034128567,0.35569924842026707,99,"{""2021"": -0.024522357184038723, ""2022"": 0.0, ""2023"": -0.005798034554153841, ""2024"": -0.06054901124596024, ""2025"": 0.3040213392258799, ""2026"": 0.4267904232916053}"
broad,m36_month_start_top3_majority_below_ma200_base_equal,3月50%+6月50%｜月初 Top3｜2/3指数低于MA200空仓｜纯动量｜equal,m36,month_start,3,majority_below_ma200,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.6302826081673272,0.10288000350237025,-0.2833681583879203,0.5504156133609914,0.37635021420616144,113,"{""2021"": -0.025313416228390895, ""2022"": 0.0, ""2023"": -0.03574858269321357, ""2024"": -0.05845011685204693, ""2025"": 0.36031456534324025, ""2026"": 0.39554639254944624}"
broad,m36_month_start_3_top1_no_gate_base_equal,3月50%+6月50%｜月初第3日 Top1｜无闸门｜纯动量｜equal,m36,month_start_3,1,no_gate,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,-0.03351153530226003,-0.006806069691533412,-0.6143317027109081,0.1777868943511818,1.0,65,"{""2021"": -0.26620606347955067, ""2022"": -0.40945273916474545, ""2023"": 0.14606232157117582, ""2024"": -0.1706718616553411, ""2025"": 1.3000016006864423, ""2026"": -0.012032580305826102}"
broad,m36_month_start_3_top1_majority_below_ma100_base_equal,3月50%+6月50%｜月初第3日 Top1｜2/3指数低于MA100空仓｜纯动量｜equal,m36,month_start_3,1,majority_below_ma100,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.48351072905879855,0.0822291134927593,-0.33257293089849504,0.43175530052534455,0.34710743801652894,37,"{""2021"": -0.03196161982949164, ""2022"": -0.047556335677858885, ""2023"": -0.04958654857476741, ""2024"": -0.14710306004952678, ""2025"": 0.6897285913132876, ""2026"": 0.19721571694685758}"
broad,m36_month_start_3_top1_majority_below_ma120_base_equal,3月50%+6月50%｜月初第3日 Top1｜2/3指数低于MA120空仓｜纯动量｜equal,m36,month_start_3,1,majority_below_ma120,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.5959787519040041,0.09819082590637795,-0.31959674659255644,0.48302751221110457,0.3611570247933884,35,"{""2021"": -0.02975364698452776, ""2022"": -0.028597831428281983, ""2023"": -0.04683620033722802, ""2024"": -0.15188461472884252, ""2025"": 0.7831620024037853, ""2026"": 0.1972157169468578}"
broad,m36_month_start_3_top1_majority_below_ma150_base_equal,3月50%+6月50%｜月初第3日 Top1｜2/3指数低于MA150空仓｜纯动量｜equal,m36,month_start_3,1,majority_below_ma150,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.24619444711392235,0.045084108586053384,-0.2841344161945091,0.30165566468045474,0.34710743801652894,31,"{""2021"": -0.02975364698452776, ""2022"": -0.04828890363807947, ""2023"": 0.011902601209472063, ""2024"": -0.08746478529213508, ""2025"": 0.6008868595847734, ""2026"": -0.069557906930096}"
broad,m36_month_start_3_top1_majority_below_ma200_base_equal,3月50%+6月50%｜月初第3日 Top1｜2/3指数低于MA200空仓｜纯动量｜equal,m36,month_start_3,1,majority_below_ma200,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.46689126770817935,0.07978903918785174,-0.2776928954409572,0.41762014890875604,0.36198347107438017,33,"{""2021"": -0.0543514733828534, ""2022"": 0.0, ""2023"": -0.030129024953336137, ""2024"": -0.09231693065300584, ""2025"": 0.9365595767388566, ""2026"": -0.07268179007669362}"
